0-9,19-Oct,20-29,30-39,40-49,50-59,60-69,70-79,80+,White-alone_pop,Black-alone_pop,Native_American-American_Indian-alone_pop,Asian-alone_pop,Hawaiian-Pacific_Islander-alone_pop,Two_or_more_races_pop,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_death_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less_than_a_high_school_diploma_2014-18,High_school_diploma_only_2014-18,Some_college_or_associate's_degree_2014-18,Bachelor's_degree_or_higher_2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active_Physicians_per_100000_Population_2018_(AAMC),Total_Active_Patient_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_Patient_Care_Primary_Care_Physicians_per_100000_Population_2018_(AAMC),Active_General_Surgeons_per_100000_Population_2018_(AAMC),Active_Patient_Care_General_Surgeons_per_100000_Population_2018_(AAMC),Total_nurse_practitioners_(2019),Total_physician_assistants_(2019),Total_Hospitals_(2019),Internal_Medicine_Primary_Care_(2019),Family_Medicine-General_Practice_Primary_Care_(2019),Total_Specialist_Physicians_(2019),ICU_Beds_x,Total_Population,Population_Aged_60+,COUNTY_NAME,STATE_NAME,STATE_FIPS,county_pop2018_18_and_older,anycondition_prevalence,Obesity_prevalence,Obesity_number,Heart_disease_prevalence,Heart_disease_number,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number,Urban_rural_code
3221.0,3463.0,2922.0,2829.0,2831.0,3831.0,3860.0,2460.0,1208.0,25313.0,337.0,428.0,89.0,11.0,447.0,26625.0,167.0,303.0,10.0,1.5,3.5,5.0,2546.0,6396.0,5727.0,3406.0,4070.0,15.5,23.3,21.3,50374.0,47914.0,52834.0,12456.0,11696.0,760.0,6.1,50374.0,88.9,287.0,249.7,97.8,87.6,7.9,6.7,11.77305929,10.07635369,0.383556683,19.75050558,16.04279098,54.0788287,0.0,26317.0,7218.0,879.0,22.0,26.0,20545.0,49.7,38.6,7930.0,10.1,2072.0,11.3,2314.0,13.7,2823.0,3.8,771.0,6.0
5272.0,5751.0,5137.0,5341.0,5880.0,7885.0,8271.0,4801.0,2928.0,49662.0,593.0,109.0,231.0,22.0,649.0,51266.0,-557.0,1302.0,13.1,0.0,-7.4,-7.4,3913.0,18496.0,9051.0,6742.0,7537.0,15.0,20.9,18.8,45761.0,43018.0,48504.0,22421.0,21317.0,1104.0,4.9,45761.0,75.2,320.5,273.3,100.8,88.2,8.7,7.2,28.03264746,22.69271433,0.796586726,41.53459233,28.83724008,107.1469191,8.0,52880.0,15253.0,1404.0,38.0,42.0,41304.0,46.7,33.2,13713.0,9.2,3796.0,9.9,4097.0,13.1,5416.0,3.5,1454.0,5.0
3915.0,5118.0,6202.0,4363.0,4451.0,5107.0,4349.0,2713.0,1561.0,35248.0,1435.0,135.0,394.0,18.0,549.0,37779.0,169.0,5022.0,9.2,0.6,2.4,3.0,2678.0,10860.0,7263.0,3984.0,3978.0,12.2,14.8,13.3,54718.0,50857.0,58579.0,16882.0,16245.0,637.0,3.8,54718.0,98.2,230.8,212.0,80.3,74.4,6.5,6.1,19.49391292,4.770447847,0.745206054,14.85331158,18.75999787,49.14972658,6.0,37543.0,8058.0,327.0,14.0,18.0,30379.0,47.0,33.7,10238.0,7.3,2222.0,9.2,2792.0,12.2,3698.0,2.9,871.0,2.0
11163.0,12646.0,11595.0,11357.0,11444.0,12774.0,10791.0,6736.0,3478.0,69216.0,1175.0,12403.0,1370.0,79.0,7741.0,91984.0,505.0,1216.0,9.1,0.5,3.7,4.2,4804.0,19984.0,21265.0,14803.0,8855.0,9.8,12.5,10.8,61849.0,58266.0,65432.0,44792.0,43309.0,1483.0,3.3,61849.0,119.1,206.7,189.1,73.9,68.5,6.2,5.8,26.38392586,30.04641601,2.915995343,30.76958286,52.7211958,108.7549623,6.0,90098.0,19479.0,1350.0,36.0,40.0,70506.0,46.9,36.5,25735.0,7.8,5484.0,8.1,5716.0,11.2,7913.0,3.0,2118.0,3.0
16698.0,17666.0,17281.0,15993.0,15845.0,17982.0,16909.0,10074.0,6039.0,109628.0,15004.0,1047.0,4026.0,61.0,4721.0,134487.0,129.0,4326.0,10.3,2.3,-3.0,-0.7,8123.0,33106.0,30526.0,19318.0,22602.0,17.3,27.6,25.2,48413.0,45124.0,51702.0,62865.0,60219.0,2646.0,4.2,48413.0,85.5,287.0,249.7,97.8,87.6,7.9,6.7,59.46754649,50.89722362,1.93740423,99.76286363,81.03462274,273.1605422,32.0,134327.0,31227.0,7.0,22.0,26.0,103686.0,48.0,37.5,38882.0,8.4,8686.0,9.6,10002.0,12.5,12987.0,3.4,3490.0,4.0
72007.0,60660.0,151437.0,183382.0,120821.0,107395.0,93694.0,54600.0,39309.0,467444.0,49184.0,6570.0,317204.0,4015.0,38888.0,883305.0,4139.0,24235.0,7.5,7.2,-5.1,2.1,79408.0,84630.0,131509.0,394004.0,87596.0,10.1,10.9,11.1,110601.0,107200.0,114002.0,575567.0,562022.0,13545.0,2.4,110601.0,147.0,279.6,243.8,96.2,87.1,7.2,6.2,344.1931335,176.7858465,8.016435378,499.3636333,339.3698743,1312.350762,337.0,864263.0,179193.0,202.0,4.0,6.0,764613.0,23.9,16.8,128455.0,4.6,35077.0,3.8,28886.0,8.8,67258.0,2.3,17872.0,1.0
2435.0,2532.0,2443.0,2283.0,2367.0,2949.0,2664.0,1826.0,800.0,14106.0,5724.0,73.0,136.0,14.0,246.0,20299.0,-237.0,89.0,11.4,0.1,-10.4,-10.3,2659.0,5932.0,4124.0,1470.0,4128.0,20.5,33.6,34.1,48708.0,45569.0,51847.0,9182.0,8778.0,404.0,4.4,48708.0,83.1,228.7,202.9,79.1,71.9,7.0,6.1,9.291308264,6.419975617,0.27980056,9.605842687,6.582066976,24.67647977,0.0,20809.0,5131.0,445.0,10.0,13.0,15759.0,46.1,32.9,5185.0,9.1,1433.0,10.6,1669.0,15.5,2438.0,3.9,608.0,4.0
361.0,402.0,277.0,350.0,287.0,331.0,377.0,232.0,184.0,2633.0,21.0,76.0,20.0,0.0,51.0,2801.0,44.0,96.0,8.6,7.2,1.8,9.0,238.0,607.0,592.0,372.0,276.0,10.2,14.0,13.1,53107.0,47916.0,58298.0,1557.0,1512.0,45.0,2.9,53107.0,93.1,240.4,219.1,92.8,84.8,9.2,8.6,1.501723464,1.282655982,0.180968789,1.076288064,1.717616055,3.04154562,0.0,2739.0,732.0,1435.0,41.0,46.0,2106.0,40.4,30.4,640.0,7.8,165.0,6.1,128.0,10.3,216.0,3.1,64.0,6.0
64634.0,77403.0,70438.0,73278.0,78076.0,99861.0,84949.0,49074.0,30482.0,555198.0,27543.0,1787.0,32220.0,376.0,11071.0,628195.0,1167.0,8038.0,9.7,1.2,1.1,2.3,27363.0,128245.0,109517.0,180201.0,35350.0,5.7,6.6,6.0,88538.0,86842.0,90234.0,341069.0,328286.0,12783.0,3.7,88538.0,145.4,320.5,273.3,100.8,88.2,8.7,7.2,343.5019111,278.0683041,9.761085292,508.9498542,353.3610977,1312.939548,90.0,626486.0,151809.0,1379.0,38.0,42.0,499979.0,39.3,29.8,148994.0,6.3,31557.0,6.4,31984.0,10.7,53389.0,2.7,13632.0,2.0
454.0,543.0,567.0,652.0,457.0,533.0,527.0,348.0,260.0,3927.0,112.0,147.0,54.0,0.0,101.0,4341.0,-68.0,573.0,11.0,0.0,-14.9,-14.9,677.0,1412.0,881.0,391.0,915.0,24.3,29.4,26.9,29515.0,26216.0,32814.0,1624.0,1534.0,90.0,5.5,29515.0,62.3,244.8,213.8,91.1,82.1,7.7,7.3,2.117229511,1.102119472,0.084937779,2.028148426,2.351326316,5.995364193,0.0,4426.0,1149.0,1141.0,31.0,35.0,3436.0,48.3,35.7,1227.0,7.6,260.0,5.8,201.0,14.3,492.0,3.8,129.0,6.0
